GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Combined,top.infra.jackson2,HackedJackson2JaxbAnnotationIntrospector,4,4,0,0,2,2,2,1,2,1
Combined,top.infra.jackson2,JaxbAnnotationJackson2AutoConfiguration,0,7,0,0,0,2,0,2,0,2
Combined,top.infra.jackson2,JaxbAnnotationJackson2MapperCustomizerFactory,0,26,0,0,0,3,0,2,0,2
Combined,top.infra.jackson2,JaxbAnnotationJackson2Customizer,17,170,8,8,6,35,8,8,0,8
