GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer.ConfigServerConfiguration,21,0,2,0,5,0,3,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer,111,0,14,0,28,0,13,0,6,0
spring-cloud-config-server,cn.home1.cloud.config.server,ConfigServer.HealthIndicatorConfiguration,8,0,0,0,2,0,2,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server.util,Consts,11,0,0,0,1,0,1,0,1,0
spring-cloud-config-server,cn.home1.cloud.config.server.util,ResourceUtils,109,0,12,0,15,0,7,0,1,0
spring-cloud-config-server,cn.home1.cloud.config.server.util,EnvironmentUtils,163,0,28,0,37,0,25,0,11,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ApplicationSecurityAutoConfiguration,8,0,0,0,2,0,2,0,2,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ConfigSecurity,21,296,5,25,3,64,4,23,1,11
spring-cloud-config-server,cn.home1.cloud.config.server.security,GitFileConfigUserDetailsService,289,0,22,0,55,0,21,0,10,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,Role,44,0,0,0,5,0,1,0,1,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,PrivilegedUserProperties,76,0,4,0,16,0,14,0,12,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ApplicationSecurityAutoConfiguration.ApplicationWebSecurityConfigurerAdapter,366,0,0,0,35,0,7,0,7,0
spring-cloud-config-server,cn.home1.cloud.config.server.security,ApplicationConfigSecurity,173,0,28,0,34,0,23,0,9,0
spring-cloud-config-server,cn.home1.cloud.config.server.ssh,DeployKey,94,0,2,0,21,0,9,0,8,0
spring-cloud-config-server,cn.home1.cloud.config.server.ssh,CustomJschConfigSessionFactory,40,0,2,0,10,0,4,0,3,0
spring-cloud-config-server,cn.home1.cloud.config.server.environment,GitParentSupportConfiguration,48,0,0,0,11,0,3,0,3,0
spring-cloud-config-server,cn.home1.cloud.config.server.environment,GitParentSupportMultipleJGitEnvironmentRepository,188,0,20,0,41,0,15,0,5,0
