GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Combined,cn.home1.cloud.config.server.monitor,AbstraceNotificationExtractor,5,97,4,10,3,26,4,6,0,3
Combined,cn.home1.cloud.config.server.monitor,GitlabRepositoryPathNotificationExtractor,6,65,3,5,2,13,3,3,0,2
