GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-commons,top.infra.web.servlet.handler,OrderedHandlerInterceptor,106,15,16,0,2,3,15,3,7,3
spring-boot-commons,top.infra.web.servlet.handler,OrderedHandlerInterceptorWebMvcConfigureAdapter,4,26,0,0,0,8,1,4,1,4
spring-boot-commons,top.infra.web.servlet.handler,OrderedHandlerInterceptorAdapter,0,3,0,0,0,1,0,1,0,1
